row_id,score_id,user_id,beatmap_id,beatmapset_id,ruleset,collected_at,score_created_at,score_source,seed_band,seed_user_rank,target_passed,target_accuracy,score_rank,mods_raw,observed_pp,observed_max_combo,count_300,count_100,count_50,count_miss,user_pp,user_global_rank,user_country_rank,user_accuracy,user_play_count,user_play_time_sec,user_total_hits,user_maximum_combo,beatmap_star_rating,beatmap_bpm,beatmap_ar,beatmap_od,beatmap_cs,beatmap_hp,beatmap_hit_length_sec,beatmap_total_length_sec,beatmap_count_circles,beatmap_count_sliders,beatmap_count_spinners,beatmap_status,beatmap_passcount,beatmap_playcount
6793298967,6793298967,8856806,812161,370605,osu,2026-05-31T18:18:38Z,2026-05-31T12:47:49Z,recent,1-1000,40,False,97.4063,F,HD,,429,334,12,0,1,21558.3,40,1,97.7995,266631,11081539,57623166,7456,8.13733,218,9.8,9.8,4,6,232,243,1118,260,3,loved,9702,265761
6793282595,6793282595,8856806,1087334,327557,osu,2026-05-31T18:18:38Z,2026-05-31T12:44:36Z,recent,1-1000,40,False,100.0,F,,,55,26,0,0,0,21558.3,40,1,97.7995,266631,11081539,57623166,7456,7.64483,254.92,10,8.6,4,5.7,201,213,589,454,1,loved,36185,568776
6793281182,6793281182,8856806,1087334,327557,osu,2026-05-31T18:18:38Z,2026-05-31T12:44:20Z,recent,1-1000,40,False,92.5926,F,,,20,8,1,0,0,21558.3,40,1,97.7995,266631,11081539,57623166,7456,7.64483,254.92,10,8.6,4,5.7,201,213,589,454,1,loved,36185,568776
6763819874,6763819874,8856806,5103177,2336672,osu,2026-05-31T18:18:38Z,2026-05-26T13:17:37Z,best,1-1000,40,True,97.8006,SH,HDDT,1257.34,2435,1649,55,1,0,21558.3,40,1,97.7995,266631,11081539,57623166,7456,6.16401,200,9.2,8.8,3.6,5,277,278,1152,552,1,ranked,12458,138439
6735255530,6735255530,8856806,5285756,2427858,osu,2026-05-31T18:18:38Z,2026-05-21T16:46:49Z,best,1-1000,40,True,97.9332,A,HDDT,1141.4,1024,1470,44,0,2,21558.3,40,1,97.7995,266631,11081539,57623166,7456,6.41374,175,9.3,9,4,5,312,313,1082,434,0,ranked,2196,28189
5032129095,5032129095,11307733,4868750,2261067,osu,2026-05-31T18:18:39Z,2026-05-31T17:29:32Z,recent,1-1000,293,True,97.9404,S,,445.694,1527,1192,38,0,0,16851.1,294,64,96.3497,149020,7051653,39081567,3969,7.31431,239,9.5,9.2,3.5,6,170,175,932,298,0,ranked,2721,15085
0,0,11307733,1233793,583052,osu,2026-05-31T18:18:39Z,2026-05-31T16:54:48Z,recent,1-1000,293,False,58.3333,F,,,2,1,0,1,0,16851.1,294,64,96.3497,149020,7051653,39081567,3969,5.12147,164,9,8,4.2,6,305,308,666,437,1,ranked,29854,239813
5032110512,5032110512,11307733,4004882,1937425,osu,2026-05-31T18:18:39Z,2026-05-31T16:43:54Z,recent,1-1000,293,True,96.4986,A,HR,366.373,968,790,41,1,1,16851.1,294,64,96.3497,149020,7051653,39081567,3969,6.92129,154,9.6,9.1,3,6,152,159,598,233,2,ranked,3420,25714
4929732759,4929732759,11307733,5062956,2351846,osu,2026-05-31T18:18:39Z,2025-10-29T01:58:32Z,best,1-1000,293,True,97.1991,S,DT,1053.45,1041,690,29,1,0,16851.1,294,64,96.3497,149020,7051653,39081567,3969,6.41123,220,9.4,8.5,3.6,4.5,135,161,473,246,1,ranked,43686,257356
4898357889,4898357889,11307733,3087285,1396650,osu,2026-05-31T18:18:39Z,2025-08-31T17:46:26Z,best,1-1000,293,True,95.8149,S,DT,956.901,943,635,40,2,0,16851.1,294,64,96.3497,149020,7051653,39081567,3969,6.52665,107.5,9.3,8.6,4,5,157,167,464,213,0,ranked,29857,174448
5918843014,5918843014,18340710,3881559,1885198,osu,2026-05-31T18:18:41Z,2025-12-18T15:56:14Z,best,1-1000,713,True,99.0928,A,HR,804.42,878,2250,21,2,5,14841.7,713,6,98.7496,145507,5757280,31280925,4087,7.68692,191,9.8,9.8,4.5,5,335,335,1861,417,0,ranked,61827,533143
4957253083,4957253083,18340710,5394968,2464474,osu,2026-05-31T18:18:41Z,2025-12-20T19:42:48Z,best,1-1000,713,True,99.1111,SH,HDHRDT,784.526,426,296,4,0,0,14841.7,713,6,98.7496,145507,5757280,31280925,4087,5.62383,192,9.2,8.8,3,4.6,68,70,183,117,0,ranked,146763,606196
4671227962,4671227962,8845986,2596015,1249048,osu,2026-05-31T18:18:42Z,2024-08-19T21:35:34Z,best,1001-10000,7694,True,97.0549,S,DT,544.285,333,238,11,0,0,10080,7692,81,97.5369,75305,4265425,18496877,3354,5.57066,170,9.3,9.2,4,5.5,57,58,182,67,0,ranked,811789,5290858
4675513043,4675513043,8845986,1968445,942642,osu,2026-05-31T18:18:42Z,2024-08-28T19:03:23Z,best,1001-10000,7694,True,97.7998,S,DT,539.531,418,293,10,0,0,10080,7692,81,97.5369,75305,4265425,18496877,3354,5.58173,178,9.2,9,4,5.2,88,88,207,95,1,ranked,506106,3426831
4686428025,4686428025,25512851,4047828,1954509,osu,2026-05-31T18:18:44Z,2024-09-20T23:33:36Z,best,1001-10000,9521,True,98.7353,SH,HDDT,540.224,1278,1086,21,0,0,9659.39,9521,401,98.7045,36070,2579467,11452646,4294,4.91685,128,8,8,4,6,230,230,945,159,3,ranked,3516,30538
4683157328,4683157328,25512851,2850905,1379697,osu,2026-05-31T18:18:44Z,2024-09-13T22:45:36Z,best,1001-10000,9521,True,99.3187,S,NC,527.991,1615,1308,11,2,0,9659.39,9521,401,98.7045,36070,2579467,11452646,4294,4.84202,120,8,8,4,6,306,307,1091,229,1,ranked,60140,739981
4509066288,4509066288,13943427,149388,48284,osu,2026-05-31T18:18:45Z,2023-09-20T13:05:09Z,best,1001-10000,9880,True,99.2195,S,DT,582.567,1448,1013,12,0,0,9585.34,9874,62,98.97,98903,5399775,22222638,4591,5.3566,174,9,8,4,7,277,290,672,350,3,approved,278971,3377701
4464158812,4464158812,13943427,547566,236396,osu,2026-05-31T18:18:45Z,2023-06-29T15:40:55Z,best,1001-10000,9880,True,98.6556,S,,532.549,1013,826,17,0,0,9585.34,9874,62,98.97,98903,5399775,22222638,4591,7.59461,240,10,9.3,4,7,103,108,688,154,1,ranked,81642,1188272
